,SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
1063,1880,2,1,Suburb,1956,153154.0548120147
1064,1487,2,1,Suburb,1996,40231.17453969747
1065,2823,5,1,Rural,1979,400579.3722128632
1066,1033,4,2,Urban,1984,171695.7859384045
1067,2371,5,3,Suburb,2008,255858.3259608861
1068,1094,4,2,Rural,2011,198666.6613698284
1069,2095,2,3,Suburb,1996,232521.07262902104
1070,2574,5,2,Rural,1966,296498.5389523756
1071,1153,4,2,Suburb,2002,220953.76142536377
1072,1249,5,3,Urban,1982,177511.56795711152
1073,1673,2,3,Urban,2012,243821.2869015408
1074,1437,5,3,Rural,1991,152095.59082597902
1075,1117,2,2,Suburb,1997,62277.05245547429
1076,1770,2,3,Urban,2011,182285.04744173572
1077,2914,2,1,Rural,1956,339183.52209606726
1078,2329,4,1,Urban,2004,335253.9924921469
1079,1267,4,1,Urban,1987,157519.0965890365
1080,2984,3,1,Suburb,2018,424502.06760861306
1081,2077,4,3,Suburb,1988,202779.7545867599
1082,1235,3,3,Urban,1978,106521.1346797226
1083,1388,5,1,Urban,1978,178038.7173342208
1084,1989,2,3,Urban,2004,233632.76826735772
1085,2757,4,1,Urban,2009,286469.3746141461
1086,1762,2,2,Rural,2015,173138.7930354946
1087,2848,3,3,Rural,1953,273489.4263233002
1088,1400,4,2,Urban,1969,205885.8808533246
1089,1623,4,3,Suburb,2000,200613.40704922192
1090,1766,4,3,Suburb,2019,227038.98412989223
1091,2326,4,3,Rural,2004,141390.5479169713
1092,1918,2,2,Urban,1995,267982.47357604053
1093,2230,4,2,Suburb,1996,207817.6999502768
1094,2252,3,1,Urban,2019,309843.49823040946
1095,1852,4,2,Rural,1963,151088.13116539095
1096,2933,3,2,Rural,1954,251312.0636183864
1097,1577,3,1,Suburb,1981,153390.6596971213
1098,1074,2,2,Urban,1991,145292.96624164618
1099,1434,4,2,Rural,1989,227151.09262741785
1100,1102,3,1,Suburb,1969,119347.7217802351
1101,2445,4,2,Urban,1994,240111.013750408
1102,2727,2,1,Urban,1961,349505.4323033673
1103,1763,2,3,Rural,1990,182273.6030194196
1104,1737,4,3,Suburb,1959,192126.8828263893
1105,1805,3,2,Urban,1951,249793.7962718052
1106,2329,5,3,Suburb,2005,297511.55225814733
1107,1097,5,2,Urban,1965,177698.19154519535
1108,2873,2,1,Urban,1994,351221.3194852621
1109,1797,3,1,Urban,1996,145554.8089267062
1110,2358,5,1,Suburb,1990,276729.5247093755
1111,1858,3,3,Rural,1993,169985.32774936478
1112,1434,4,1,Urban,2020,131335.8406140691
1113,1446,2,1,Rural,2007,204761.0039594704
1114,2331,4,2,Urban,2004,316339.4136499978
1115,1248,4,2,Rural,1974,273099.85329381004
1116,1165,4,2,Suburb,1961,146864.0337491901
1117,2504,3,2,Urban,1967,206789.44520633397
1118,1983,5,1,Urban,2014,269940.1612817968
1119,2358,4,2,Rural,2003,223537.99215569496
1120,2019,2,3,Rural,2013,196595.67656394895
1121,1541,3,3,Rural,2012,224318.8107937709
1122,1758,5,3,Suburb,1964,203716.13508642573
1123,2129,4,2,Urban,2018,266474.7697354394
1124,2586,2,1,Suburb,1955,277634.1844237872
1125,1080,4,2,Suburb,1978,170586.86128316916
1126,1132,5,3,Rural,1975,134815.3595102052
1127,1796,5,2,Rural,1950,151337.733270437
1128,1899,4,3,Urban,1978,276208.0402121122
1129,1137,4,1,Urban,1964,108678.204213131
1130,1183,3,1,Urban,1995,162682.1163934466
1131,2424,5,1,Rural,2013,291911.78517840937
1132,2353,5,1,Rural,1986,259199.89984603744
1133,1784,4,1,Suburb,2004,207482.88572127675
1134,2531,2,2,Urban,2005,274383.1438289569
1135,2875,4,1,Suburb,1966,192842.6457387231
1136,1983,4,2,Urban,2021,233248.53830983472
1137,1068,5,3,Urban,2006,161092.39151627693
1138,1545,3,3,Urban,1971,235129.0153150372
1139,2797,4,1,Suburb,1956,233716.42856998715
1140,1052,2,2,Suburb,1952,146607.18924151923
1141,2473,2,1,Suburb,2003,198600.88677012472
1142,1204,4,3,Rural,2005,216805.1691265378
1143,1125,2,2,Rural,2013,105204.6553885826
1144,2770,2,3,Suburb,1958,332358.65326752944
1145,1042,4,2,Rural,1999,201918.86245696864
1146,2775,2,3,Rural,2020,290506.1967475472
1147,2994,2,1,Suburb,2006,280134.6154050825
1148,2906,4,1,Urban,1957,303339.8005511156
1149,1110,5,1,Rural,2002,200784.71409593563
1150,1760,3,3,Suburb,1984,242093.566167642
1151,2686,3,3,Urban,1998,333760.3976864965
1152,2206,5,3,Rural,1973,338611.35824966105
1153,1847,4,1,Suburb,1956,204116.37864916064
1154,1094,5,3,Urban,1989,150610.52982059156
1155,2994,3,3,Rural,2000,351976.57482016616
1156,2397,3,1,Suburb,1985,188577.0633092757
1157,2935,3,3,Suburb,1983,373813.1556756765
1158,2543,3,2,Rural,2002,240045.8145893422
1159,1899,4,3,Suburb,2016,232981.9149051031
1160,1359,3,1,Urban,1982,192126.7210794374
1161,1899,3,2,Suburb,2015,183344.2437473196
1162,2719,4,1,Rural,2003,250253.11846122923
1163,1280,5,1,Urban,2014,156414.89377766548
1164,2218,4,1,Suburb,2018,276382.0311158142
1165,2887,3,2,Suburb,1989,343806.6146139087
1166,2218,2,2,Urban,2013,249691.3944756925
1167,1666,4,1,Urban,1959,139810.75977076998
1168,1092,4,3,Rural,1963,82690.01099543218
1169,1671,5,2,Suburb,2000,238757.9038506188
1170,2969,3,1,Urban,1950,321467.97516820824
1171,1060,2,3,Suburb,1974,169940.95035538176
1172,1633,4,1,Suburb,1971,175580.25687495343
1173,2074,4,2,Suburb,1985,230989.24720989837
1174,2426,4,2,Rural,1976,279755.3596462243
1175,2812,2,3,Suburb,1970,362904.4721934419
1176,2028,4,2,Rural,1980,268956.6720129476
1177,2489,4,1,Suburb,1955,231954.80722234977
1178,1603,2,1,Rural,2001,179761.4360248159
1179,1681,4,3,Rural,1957,233796.13206302735
1180,2852,2,3,Suburb,2011,362553.0598406943
1181,1533,5,3,Rural,1959,323573.64627204684
1182,2428,2,3,Rural,2020,217368.51854644023
1183,1837,5,1,Rural,1989,246895.8972611083
1184,2536,2,1,Suburb,1984,313418.688090912
1185,1644,3,1,Urban,1975,212913.18654249675
1186,1232,4,1,Urban,2021,156627.3541720271
1187,1523,5,3,Suburb,2013,175489.89319720655
1188,1345,4,2,Rural,1953,164341.102173432
1189,2069,4,1,Suburb,2020,246798.2603672481
1190,1545,2,2,Urban,1953,189422.26600314857
1191,2968,3,3,Urban,1965,379492.5663819281
1192,2101,2,3,Rural,1962,236619.53780719207
1193,2753,4,2,Suburb,1999,326789.9498035659
1194,2836,2,3,Urban,2016,368704.6268923234
1195,2946,5,2,Suburb,1981,355324.47857444914
1196,2096,3,1,Urban,1952,286598.80078736204
1197,1793,4,3,Urban,1987,208823.70139307427
1198,1248,2,3,Urban,2016,144806.31516510362
1199,1046,5,2,Suburb,1988,24201.630700697104
1200,2144,3,2,Suburb,2006,255121.82910899463
1201,1213,2,2,Rural,2004,83400.59453019578
1202,1238,2,2,Suburb,1976,107985.10326868524
1203,2079,4,2,Suburb,1965,300957.7898536421
1204,1349,5,3,Urban,1953,229106.9832001158
1205,1106,3,2,Rural,1999,145544.55360945352
1206,1830,2,1,Rural,1995,219525.367276608
1207,1047,3,2,Suburb,1991,169713.52510612592
1208,2596,5,3,Suburb,1998,340109.296676296
1209,1336,4,1,Suburb,1993,132485.85217712144
1210,2049,4,3,Suburb,1981,261852.53925246856
1211,1803,4,2,Suburb,2021,167341.43099749333
1212,2280,3,3,Rural,1995,279972.3849370597
1213,1007,3,3,Rural,2020,104862.80383008986
1214,1624,2,2,Rural,1986,181002.39798939376
1215,2890,5,3,Urban,1951,291217.4185038453
1216,2276,5,3,Urban,2016,280634.17900164775
1217,2715,5,3,Suburb,2018,280526.40424461506
1218,1718,3,1,Urban,2012,322761.7216408036
1219,1302,4,3,Rural,1960,117527.31329986568
1220,1638,5,2,Suburb,1967,272001.05630716705
1221,1055,2,2,Urban,1998,128967.41805878976
1222,1725,3,3,Rural,1963,206785.9408313717
1223,1525,4,2,Suburb,1971,220914.53325503776
1224,1473,5,1,Suburb,1971,134308.11399475118
1225,1027,4,2,Rural,1974,190994.41719116567
1226,1077,2,2,Rural,1965,132371.33429608983
1227,2239,5,3,Urban,1988,155708.87984956044
1228,2409,5,1,Rural,1979,286223.4395788689
1229,1364,4,1,Rural,1970,163351.0783050178
1230,1665,3,2,Rural,2021,175376.27163348
1231,1525,4,2,Suburb,1992,179134.0510680079
1232,1698,2,3,Rural,2010,276522.32170470257
1233,2335,4,3,Rural,1968,305260.835044175
1234,1882,4,1,Suburb,1969,149464.87423665097
1235,2030,5,3,Suburb,1996,163185.20618975966
1236,2026,3,1,Suburb,1973,202966.64092546023
1237,2646,3,1,Suburb,2013,359020.0994311885
1238,1918,3,2,Suburb,1969,270285.2387917945
1239,1749,3,1,Rural,2014,153530.47303057194
1240,1362,4,1,Rural,2020,120080.05112120266
1241,2774,5,1,Urban,1974,319107.7938739713
1242,2531,5,1,Rural,2006,278897.66450319154
1243,2297,3,2,Suburb,1982,173934.8323961827
1244,2529,4,3,Rural,2010,274377.35985674424
1245,1805,3,3,Rural,1993,158850.12450646033
1246,1738,3,1,Urban,2010,133936.14179152742
1247,2906,5,3,Suburb,1996,287991.18818528164
1248,2038,5,3,Rural,1981,174033.06497018327
1249,2215,3,1,Urban,1953,236900.2616270716
1250,2654,4,1,Rural,2014,234263.2942364666
1251,1484,3,3,Rural,1979,160660.39255138277
1252,1027,5,2,Rural,1951,146631.55816664017
1253,1713,5,3,Urban,1997,243336.44029954556
1254,2062,4,1,Rural,1955,215906.95958132925
1255,2976,3,3,Rural,2016,401985.2877054605
1256,2296,3,3,Urban,2019,289130.5018292238
1257,2254,2,2,Suburb,1983,299759.5827932454
1258,1085,3,3,Suburb,1952,170202.39969810474
1259,2497,4,3,Rural,1986,269624.0149227661
1260,1125,5,1,Urban,2003,127992.89209623911
1261,1811,2,2,Rural,1971,202758.00355505844
1262,1536,4,3,Rural,1951,231199.85045298023
1263,1144,4,3,Urban,1955,140611.7564365718
1264,2548,2,1,Suburb,1987,186540.95738958288
1265,2235,3,1,Urban,2017,213170.3489865374
1266,1024,2,2,Urban,2006,-24715.24248212748
1267,2603,4,2,Rural,1955,262747.1866764889
1268,2417,3,2,Urban,1983,241061.3837464255
1269,1066,5,1,Urban,2001,121229.06696989594
1270,1232,2,1,Rural,1955,162027.02359241215
1271,1108,4,1,Urban,2013,223401.14973427367
1272,2169,3,1,Urban,2008,195532.4744486645
1273,1110,4,2,Urban,1989,159300.64791520743
1274,1227,3,2,Suburb,1965,62986.30562359744
1275,1110,3,2,Urban,2015,155601.3059886569
1276,2493,2,1,Urban,1959,271473.4355612747
1277,1033,5,1,Urban,1979,257937.67034904443
1278,1622,3,1,Rural,1982,162059.8140930315
1279,2799,4,1,Rural,2017,298891.0325010249
1280,2959,3,3,Rural,1988,256438.8140902168
1281,2392,5,2,Rural,1953,339929.768699294
1282,1747,4,2,Suburb,2013,153806.36900681508
1283,1594,3,3,Rural,1974,230984.63033480055
1284,2577,3,2,Rural,1964,354670.2666794227
1285,1424,2,1,Urban,1955,81791.59900770316
1286,1612,5,2,Urban,2018,197839.9580200053
1287,2541,3,1,Rural,1992,279927.3625480185
1288,1691,5,1,Rural,2000,123146.72083859936
1289,2305,3,1,Urban,1964,173424.07900977868
1290,2343,4,3,Rural,2004,171330.51934510586
1291,2761,5,2,Suburb,1952,225236.92813595192
1292,2466,4,1,Urban,1959,312980.8789863423
1293,2975,5,2,Rural,1973,230128.1482991742
1294,1314,4,3,Urban,1991,181639.56747146888
1295,1876,3,2,Rural,2015,274445.7924827869
1296,2989,4,2,Suburb,1959,366555.2355330061
1297,2764,4,2,Suburb,1990,250869.37139639875
1298,2400,3,2,Suburb,1970,379321.2427296218
1299,2312,5,3,Urban,2002,282074.2092470182
1300,2460,4,2,Rural,2018,255506.8042751595
1301,1661,2,1,Urban,2006,272637.28658017167
1302,1276,2,3,Urban,1969,199083.42704097152
1303,2733,4,2,Urban,1971,287467.2210154907
1304,2605,4,2,Suburb,1999,307809.4843537617
1305,2526,4,1,Suburb,2021,312283.543814276
1306,1623,5,3,Rural,1957,257388.34095138847
1307,1515,3,3,Suburb,1961,129303.2938688843
1308,2373,2,1,Rural,1978,339049.5567186495
1309,1842,2,2,Rural,1987,169699.08392283635
1310,2469,5,2,Suburb,1975,290906.1659022507
1311,2853,4,3,Suburb,1959,265870.28893385764
1312,1349,4,3,Suburb,2006,69051.27590717527
1313,2630,3,2,Rural,2000,237559.91862629275
1314,2687,3,1,Urban,1974,288266.3123426724
1315,1822,2,1,Rural,1998,250317.0277540885
1316,2160,3,2,Rural,1964,240498.29416751303
1317,1758,2,1,Urban,1991,257528.45727921932
1318,1898,5,3,Rural,1970,252217.31133150932
1319,1242,4,2,Rural,1976,129691.6450462774
1320,1542,4,1,Suburb,2012,245906.66735232377
1321,2063,2,1,Suburb,2000,232425.8523464568
1322,1228,4,3,Urban,1981,121480.63031726416
1323,1547,5,3,Suburb,1961,198137.8777255841
1324,1919,3,2,Suburb,1973,203344.116686334
1325,2246,5,3,Suburb,1992,260688.8008430868
1326,1005,4,3,Urban,1991,87658.88397990151
1327,2345,5,2,Urban,2019,316660.36622499407
1328,1467,4,1,Suburb,1976,115795.36169598394
1329,2755,2,3,Rural,2011,287310.4061580721
1330,1074,3,2,Urban,1963,149952.3900003126
1331,1003,3,3,Urban,2005,88765.26778640246
1332,2870,4,3,Rural,1951,314993.8587969561
1333,1645,4,1,Rural,2018,144500.26529451777
1334,1117,3,3,Suburb,1967,72090.54117520008
1335,1880,5,3,Rural,2014,305647.9088776054
1336,2629,5,3,Rural,1953,340724.39626619034
1337,1503,5,1,Rural,1996,179352.70774634968
1338,1946,3,3,Suburb,1994,261841.75389257932
1339,1573,2,2,Suburb,2019,213060.55184850935
1340,2464,4,2,Suburb,2014,255410.48067567655
1341,1193,4,1,Suburb,2019,193815.8688507923
1342,1846,3,1,Urban,2008,162337.90730916703
1343,1714,2,1,Suburb,1981,229013.33238830016
1344,2415,3,3,Suburb,1992,187933.53221257168
1345,2049,5,1,Rural,1987,216764.626231274
1346,2458,5,2,Suburb,1978,208859.1964759412
1347,1172,4,2,Suburb,2018,164459.1066147965
1348,2323,4,3,Rural,1995,328992.56340750004
1349,2668,4,3,Suburb,1950,338334.53661877057
1350,1325,4,3,Rural,1955,140293.84973121644
1351,2433,5,3,Urban,1985,221513.4583150833
1352,2141,5,2,Rural,2013,395177.0032875865
1353,1835,2,2,Rural,1976,337327.046213647
1354,2810,4,1,Urban,1950,243300.74651117803
1355,1723,3,3,Rural,1978,228232.34116354445
1356,1224,2,2,Rural,2019,79423.9663565791
1357,1531,2,2,Urban,1981,104181.92183999768
1358,1112,5,1,Rural,1951,141798.62504769547
1359,1139,4,2,Urban,1973,144597.0045224462
1360,1558,2,2,Urban,1965,220726.23351701317
1361,1000,4,3,Urban,2001,23621.030327305663
1362,1089,5,1,Suburb,1975,134466.10677864333
1363,1653,2,3,Urban,1950,201655.99867090865
1364,1319,2,3,Rural,1973,289406.8430368537
1365,2573,3,1,Suburb,1977,231364.1877602572
1366,2828,5,1,Rural,1982,331264.24390558613
1367,2917,3,3,Urban,1991,394127.1705851255
1368,1138,5,3,Suburb,1999,256454.54783227463
1369,2534,3,3,Rural,1960,363923.8958233242
1370,2891,5,3,Suburb,2011,331896.5332262776
1371,1844,5,1,Suburb,1996,205052.30153370445
1372,1258,2,2,Urban,1955,104012.0452950738
1373,2696,3,1,Suburb,1959,360128.4682196975
1374,1901,3,2,Rural,1998,184846.6214197138
1375,1689,3,1,Suburb,1957,171906.8920854213
1376,1009,2,3,Suburb,1978,131689.47986554357
1377,1260,4,2,Urban,1994,94957.76478839172
1378,2942,5,1,Urban,1961,340308.4625364857
1379,2673,3,1,Urban,1987,251275.5524612104
1380,1171,5,1,Urban,2004,187244.1802802173
1381,1897,2,3,Urban,2001,352779.5971830275
1382,1012,5,1,Suburb,1967,182260.2718323372
1383,2191,2,1,Urban,2015,157002.5776735242
1384,2665,4,3,Suburb,2013,310691.4933075554
1385,2619,3,2,Urban,1950,254887.5858409593
1386,1320,2,2,Urban,2018,165514.45692983113
1387,2342,5,3,Rural,2012,302265.54308772273
1388,2636,2,2,Urban,1961,256038.37121715496
1389,1328,2,1,Urban,1958,175621.18830099958
1390,1784,4,1,Suburb,1965,247140.8367290017
1391,1776,3,2,Suburb,1990,181801.44671051236
1392,2994,2,2,Urban,1971,352046.42888642254
1393,1910,2,2,Urban,1963,134467.81902500062
1394,2943,5,3,Rural,1998,370903.69050211
1395,2573,2,2,Rural,2005,397850.3403784199
1396,2442,2,3,Suburb,2007,312943.7449668429
1397,2629,3,2,Suburb,1955,342274.50061142346
1398,2118,3,3,Suburb,1952,327981.93263748905
1399,2840,5,3,Suburb,1987,312046.86205179745
1400,2604,2,1,Suburb,1981,314944.17478153354
1401,1317,2,2,Rural,1974,156225.69820085747
1402,2979,2,1,Rural,1955,324357.79313350684
1403,1235,4,1,Suburb,1983,241791.24439489815
1404,2969,4,3,Rural,1986,369632.8628236745
1405,1333,5,3,Rural,2009,79993.95024637695
1406,2908,4,3,Suburb,1956,282492.2195684882
1407,1375,5,3,Urban,2007,143427.79362653772
1408,2482,2,1,Suburb,1969,288077.24279455945
1409,2160,4,3,Suburb,1984,261779.61037952764
1410,2953,3,1,Suburb,1968,315491.5382549024
1411,1587,4,1,Rural,1960,225659.3006397584
1412,2570,2,2,Suburb,2001,379870.5177202327
1413,1512,3,2,Urban,2006,117764.75035469324
1414,2319,5,3,Suburb,2001,365341.8285613511
1415,2343,2,1,Suburb,1962,200036.5926748048
1416,1917,3,1,Urban,1975,73956.1531989394
1417,2595,4,1,Rural,2003,323948.9886241465
1418,2855,5,2,Rural,1966,336663.75521238404
1419,2372,4,1,Suburb,1956,230595.3125008875
1420,2863,3,1,Urban,1968,378242.89964844746
1421,2802,3,1,Rural,1955,163978.9313952492
1422,1872,2,2,Rural,1991,248496.03186603377
1423,2252,5,3,Urban,1957,198792.81016550888
1424,1269,5,3,Urban,1979,221758.65514275213
1425,2851,3,3,Urban,1989,253972.5087843631
1426,1797,2,2,Rural,1951,159062.0271053596
1427,2314,3,2,Suburb,2017,200738.02722889147
1428,1724,3,3,Urban,1997,208809.89549912643
1429,2188,5,3,Suburb,1976,244617.4937068653
1430,1004,4,2,Urban,1963,80110.4422333746
1431,1850,4,3,Urban,1999,141837.84422419104
1432,2402,5,1,Urban,1954,276920.0327186543
1433,1077,2,2,Urban,1970,39789.05637936934
1434,2433,5,3,Suburb,1997,323905.12899115216
1435,1573,2,3,Rural,1981,186844.43801430272
1436,1131,5,2,Rural,1950,131388.3617121804
1437,1600,2,2,Suburb,2012,271767.33303371945
1438,2772,3,1,Urban,2005,248601.3277744112
1439,2065,3,2,Urban,1960,242018.57414417935
1440,1088,2,2,Rural,1959,160656.6245574956
1441,1401,5,1,Suburb,1984,183614.37987327905
1442,1295,3,3,Suburb,1980,69742.31853570514
1443,2863,5,2,Rural,1953,277955.2828065936
1444,2318,4,3,Urban,1977,172213.52668389384
1445,1615,3,1,Urban,1975,192169.9286915295
1446,2549,5,2,Urban,2003,299271.279198641
1447,1799,5,1,Rural,1961,192391.946079366
1448,2714,4,3,Rural,1985,281494.4284269798
1449,2660,5,1,Rural,1965,283144.02356349287
1450,1421,2,2,Urban,2018,128880.63932457368
1451,2888,3,2,Suburb,1999,254958.46943037125
1452,2046,2,3,Urban,2003,273308.43409054884
1453,1574,4,3,Rural,1958,149579.29679018265
1454,1142,2,3,Rural,1993,161527.3190280167
1455,1992,5,3,Rural,1963,178777.6758820918
1456,1664,4,2,Rural,2002,150072.77768801674
1457,1144,4,2,Rural,1997,189146.19890980687
1458,2248,2,2,Suburb,2003,234782.06338845775
1459,2006,4,1,Rural,1952,183591.66310251813
1460,1502,2,1,Suburb,1969,170893.71510179178
1461,2985,2,3,Rural,2003,380395.7886979188
1462,2997,2,3,Suburb,1953,376243.3121196561
1463,1820,4,3,Urban,1992,233400.28161060603
1464,2639,4,2,Urban,1967,339900.50617751275
1465,1103,3,1,Urban,2015,151308.71799617136
1466,2970,2,3,Suburb,2019,271877.4672284469
1467,2062,2,3,Suburb,1989,170381.16934096307
1468,2970,2,2,Rural,1979,411419.5806336825
1469,1197,2,1,Urban,1972,52537.245182429455
1470,2669,2,3,Rural,1984,308269.0967149108
1471,1578,2,3,Urban,1993,126897.14484619103
1472,1390,2,3,Rural,1999,149880.3394191399
1473,2202,3,3,Urban,1973,158291.97099255945
1474,2991,3,1,Urban,1982,424314.06353728607
1475,1553,5,1,Suburb,1997,223049.0041754864
1476,2471,2,3,Suburb,1967,319933.9042180739
1477,2523,2,2,Suburb,2004,310310.287064534
1478,2038,3,3,Rural,1959,205517.80746223903
1479,2646,3,2,Rural,2000,319871.8642397518
1480,2692,2,3,Rural,1962,230926.29809658605
1481,2312,2,3,Rural,1963,211128.2200807417
1482,1477,3,2,Rural,1981,83129.19404063445
1483,2254,3,3,Suburb,1975,242468.17775536675
1484,1922,5,1,Rural,2000,156453.6391062442
1485,1419,5,2,Urban,1985,238711.63955741408
1486,1156,2,1,Rural,2008,173471.0724480874
1487,1549,3,2,Urban,1970,207848.78337177736
1488,2464,5,1,Suburb,1962,376283.0944182716
1489,2120,2,3,Rural,1965,227705.139455824
1490,2020,5,3,Rural,1996,295173.21466070786
1491,1996,5,2,Urban,2002,208832.5771638779
1492,2434,5,1,Suburb,1979,181513.9862070892
1493,1950,4,3,Suburb,2013,230751.60475472733
1494,1288,2,1,Urban,1975,206363.5528660337
1495,2277,5,1,Suburb,1980,161369.96935538173
1496,1195,2,2,Rural,1971,177762.60744982713
1497,1597,2,3,Suburb,1993,191429.0700920061
1498,2857,3,2,Suburb,1975,296301.481125016
1499,2545,2,2,Rural,2014,241398.2331066964
1500,1516,5,3,Urban,1958,169922.14559428632
1501,2658,2,1,Suburb,1999,267022.57863697683
1502,2865,3,2,Rural,1998,282967.21274589025
1503,1864,4,3,Rural,1957,166514.29821092534
1504,2141,4,1,Rural,1995,310230.40635129646
1505,1805,3,1,Urban,2009,236104.8196810374
1506,2932,5,1,Suburb,1968,276777.87852348736
1507,2182,5,2,Suburb,1964,248861.9211657385
1508,1814,5,2,Urban,1976,218993.10895829712
1509,1227,2,3,Urban,2018,221381.8636194797
1510,2900,4,1,Rural,2012,275815.9180208523
1511,1215,5,1,Urban,1993,192510.57536538903
1512,1947,4,3,Urban,2007,182412.56910595205
1513,2719,3,1,Suburb,1988,256082.63146169652
1514,1014,4,1,Suburb,2017,122023.28369530653
1515,2180,5,3,Suburb,1967,180554.91024492987
1516,2671,4,3,Rural,2003,235136.2945077356
1517,2284,3,2,Rural,1997,256342.931504016
1518,2180,4,2,Rural,1978,243654.5645658008
1519,1046,2,2,Rural,1979,130267.42950534391
1520,1323,3,3,Suburb,2018,204741.05292657748
1521,1843,2,2,Suburb,1974,180011.65446981858
1522,2708,2,1,Urban,1976,257333.64202343536
1523,1129,5,2,Rural,1979,177519.25133578255
1524,2434,5,2,Urban,1989,251984.07175241396
1525,1094,3,2,Rural,1981,169065.24306125287
1526,1626,5,3,Rural,1978,91250.12291557406
1527,1754,4,1,Rural,1990,211992.81893364037
1528,2955,3,3,Suburb,1960,330165.25277983205
1529,2315,5,1,Rural,1993,338128.69760085235
1530,1793,5,2,Urban,1983,247431.3050007488
1531,2834,4,2,Urban,1983,363806.6214128042
1532,2306,2,1,Suburb,1977,242960.71609830568
1533,1068,4,3,Rural,2009,152613.90027836143
1534,2683,2,3,Suburb,2003,235427.47563717185
1535,1010,5,2,Urban,1976,107642.912380268
1536,2277,2,1,Rural,1995,266227.2068829804
1537,2865,2,1,Suburb,1957,402366.8293209531
1538,1871,5,1,Rural,1978,263080.86585790035
1539,1549,3,1,Urban,1968,210147.56597329865
1540,2157,4,2,Rural,1981,295046.37562249426
1541,1711,5,3,Rural,1950,230494.32406418404
1542,1022,4,2,Suburb,2016,137553.395591761
1543,1814,4,1,Suburb,2007,197682.7584189398
1544,1345,2,3,Rural,1975,116125.7015165906
1545,1301,5,2,Rural,1999,102950.39897735702
1546,1362,3,1,Urban,1956,149445.85973951532
1547,1395,4,2,Urban,1968,159677.39916456235
1548,1217,4,1,Urban,2017,107724.95170556156
1549,1140,3,2,Suburb,2007,157591.2468614768
1550,2639,4,2,Urban,1976,351702.83757026494
1551,1957,5,2,Suburb,1986,202962.64224027196
1552,2233,3,1,Urban,1957,252133.18250710503
1553,1984,5,3,Urban,1950,203584.40245241256
1554,1992,3,3,Urban,2021,263168.4957403788
1555,2646,4,1,Rural,2020,311377.3934234755
1556,2639,3,3,Rural,2018,256415.7292836833
1557,1827,5,3,Urban,1953,240714.11145866857
1558,1682,3,2,Rural,2014,78245.42463651147
1559,2483,4,2,Suburb,1981,304337.1430689298
1560,2003,2,1,Suburb,1972,177089.86778592397
1561,1355,4,1,Rural,1967,107755.08798969437
1562,2007,4,2,Urban,1955,186133.49424564492
1563,2347,2,1,Rural,2008,210435.52726392163
1564,2156,3,1,Rural,2011,168184.25453714878
1565,1887,4,3,Suburb,1961,281861.25455850514
1566,2828,2,1,Urban,1995,302708.4332663197
1567,2863,5,1,Suburb,1973,362317.4564954257
1568,1126,2,2,Rural,1962,168992.38235441377
1569,2129,4,1,Rural,1988,237640.73751636565
1570,2008,5,2,Urban,1951,310237.18769496895
1571,1603,4,1,Urban,1960,262914.92797365086
1572,2822,2,3,Suburb,2020,311383.2768920856
1573,2401,5,2,Urban,2004,293353.4281058962
1574,2928,4,1,Urban,1973,285247.3591877474
1575,2013,2,1,Rural,2019,210469.85959541067
1576,1050,5,3,Rural,1957,135494.92418625805
1577,2052,4,1,Rural,1999,185341.73143838215
1578,2485,2,3,Urban,2018,320619.8972342048
1579,2319,4,2,Urban,1974,256896.38021847917
1580,2320,4,2,Rural,1953,224537.6967389556
1581,2749,4,1,Urban,2016,248344.82125027708
1582,1778,3,2,Rural,1956,274278.92758143606
1583,2430,4,3,Urban,1993,229210.35766561
1584,2792,5,3,Rural,1971,293720.955192339
1585,1813,2,1,Suburb,2007,252819.61846524783
1586,2636,2,3,Urban,1966,244973.5745916128
1587,2428,3,3,Suburb,1957,263628.83521145495
1588,2369,3,3,Rural,2006,303903.4195046444
1589,2645,3,1,Suburb,1981,251233.0709973353
1590,1419,4,2,Urban,1991,81698.857908841
1591,2205,4,3,Suburb,1991,252324.87700019183
1592,1982,5,2,Rural,1989,106851.63595179455
1593,1824,2,2,Suburb,2021,118070.52821010044
1594,2024,2,1,Rural,1970,249565.90458975325
1595,2854,4,1,Rural,2017,301546.2991683806
1596,2973,2,2,Suburb,1984,314433.7255012847
1597,1566,4,1,Rural,1994,221489.1806227411
1598,1370,3,2,Rural,1954,165914.80872808408
1599,1935,4,3,Urban,1958,254806.88793465792
1600,2934,5,2,Rural,1959,311568.1292877512
1601,1660,4,2,Suburb,1979,279010.89604564075
1602,2454,4,3,Rural,1995,205557.875364222
1603,1968,2,1,Urban,2011,291881.8343791338
1604,2332,4,2,Rural,1951,238263.3822584931
1605,2160,5,1,Rural,2002,194130.1913802169
1606,1201,4,3,Rural,1998,216784.0272779053
1607,2459,4,2,Rural,1950,245500.69437094155
1608,1312,3,2,Urban,1967,121203.02382585416
1609,1116,4,2,Rural,1992,15889.76500499314
1610,2689,4,2,Rural,1982,305738.9113377509
1611,1936,4,1,Rural,2001,296077.5477179321
1612,2826,5,1,Suburb,1954,323962.00748778286
1613,1574,2,3,Rural,1951,184214.47546204296
1614,1243,3,1,Urban,1984,208676.2656094653
